"stock","zygosity","status","gb_pct.count","gb_pct.mean","gb_pct.sd","time.count","time.mean","time.sd"
"wt","wildtype","md_start",16,21.4721181283592,1.86969508590041,16,14.5625,2.42126000256065
"btd","heterozygote","md_start",6,22.1104898949347,4.17402220492222,6,14.6527777777778,3.72879808855148
"btd","homozygote","md_start",5,28.0717710142536,2.35523904343157,5,17.0166666666667,3.72323783822629
"eve","heterozygote","md_start",7,19.8833247212824,4.08538769097722,7,18.2142857142857,1.57075201886291
"eve","homozygote","md_start",5,19.0443890991641,2.75007027684393,5,16.95,1.12361025271221
"prd","heterozygote","md_start",10,20.408048436055,3.84682314864372,10,12.8,1.13529242439509
"prd","homozygote","md_start",5,23.4175169076017,3.01682274215304,5,13,2
"wt","wildtype","md_split",16,33.1562323823776,2.00861152598548,16,19.5625,2.85116935075184
"btd","heterozygote","md_split",6,31.4837264443239,2.29017185721314,6,18.5416666666667,3.98808990760127
"btd","homozygote","md_split",5,35.515639581776,2.76539141689228,5,20.95,4.02578494761512
"eve","heterozygote","md_split",7,29.4882308504265,3.66737901742151,7,22.8928571428571,1.22352924342813
"eve","homozygote","md_split",5,27.1064571162819,2.43341866224205,5,21.3,0.974679434480896
"prd","heterozygote","md_split",10,31.4827689172434,3.91947640623234,10,17.9,1.10050493461461
"prd","homozygote","md_split",5,33.8951098016285,2.28440261586599,5,18,2.91547594742265
